Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
teal-soft-silk,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/teal-soft-silk-2.jpg,2,Teal Soft Silk Saree with Zari Border — border detail,
rust-tussar,Rust Tussar Silk Saree,"<p>A tussar silk saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, tussar, everyday",TRUE,Title,Default Title,RUST-TUSSAR,continue,manual,8600,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/rust-tussar-1.jpg,1,Rust Tussar Silk Saree,active
rust-tussar,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/rust-tussar-2.jpg,2,Rust Tussar Silk Saree — border detail,
beige-tussar,Beige Tussar Silk Hand-Painted Saree,"<p>A tussar silk saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, tussar, everyday",TRUE,Title,Default Title,BEIGE-TUSSAR,continue,manual,12750,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/beige-tussar-1.jpg,1,Beige Tussar Silk Hand-Painted Saree,active
beige-tussar,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/beige-tussar-2.jpg,2,Beige Tussar Silk Hand-Painted Saree — border detail,
blush-organza,Blush Organza Saree with Sequin Work,"<p>A organza saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, organza, festive",TRUE,Title,Default Title,BLUSH-ORGANZA,continue,manual,5480,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/blush-organza-1.jpg,1,Blush Organza Saree with Sequin Work,active
blush-organza,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/blush-organza-2.jpg,2,Blush Organza Saree with Sequin Work — border detail,
powder-blue-organza,Powder Blue Organza Saree,"<p>A organza saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, organza, festive",TRUE,Title,Default Title,POWDER-BLUE-ORGANZA,continue,manual,4980,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/powder-blue-organza-1.jpg,1,Powder Blue Organza Saree,active
powder-blue-organza,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/powder-blue-organza-2.jpg,2,Powder Blue Organza Saree — border detail,
offwhite-chanderi,Off-White Chanderi Silk Cotton Saree,"<p>A chanderi saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, chanderi, everyday",TRUE,Title,Default Title,OFFWHITE-CHANDERI,continue,manual,4250,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/offwhite-chanderi-1.jpg,1,Off-White Chanderi Silk Cotton Saree,active
offwhite-chanderi,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/offwhite-chanderi-2.jpg,2,Off-White Chanderi Silk Cotton Saree — border detail,
sage-chanderi,Sage Chanderi Saree with Gold Buttas,"<p>A chanderi saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, chanderi, everyday",TRUE,Title,Default Title,SAGE-CHANDERI,continue,manual,4890,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/sage-chanderi-1.jpg,1,Sage Chanderi Saree with Gold Buttas,active
sage-chanderi,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/sage-chanderi-2.jpg,2,Sage Chanderi Saree with Gold Buttas — border detail,
magenta-silk-cotton,Magenta Silk Cotton Saree,"<p>A silk cotton saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, silk-cotton, everyday",TRUE,Title,Default Title,MAGENTA-SILK-COTTON,continue,manual,3450,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/magenta-silk-cotton-1.jpg,1,Magenta Silk Cotton Saree,active
magenta-silk-cotton,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/magenta-silk-cotton-2.jpg,2,Magenta Silk Cotton Saree — border detail,
mustard-silk-cotton,Mustard Silk Cotton Handloom Saree,"<p>A silk cotton saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, silk-cotton, everyday",TRUE,Title,Default Title,MUSTARD-SILK-COTTON,continue,manual,3890,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/mustard-silk-cotton-1.jpg,1,Mustard Silk Cotton Handloom Saree,active
mustard-silk-cotton,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/mustard-silk-cotton-2.jpg,2,Mustard Silk Cotton Handloom Saree — border detail,
wine-georgette,Wine Georgette Saree with Embroidery,"<p>A georgette saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, georgette, festive",TRUE,Title,Default Title,WINE-GEORGETTE,continue,manual,6250,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/wine-georgette-1.jpg,1,Wine Georgette Saree with Embroidery,active
wine-georgette,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/wine-georgette-2.jpg,2,Wine Georgette Saree with Embroidery — border detail,
charcoal-pochampally,Charcoal Pochampally Ikat Silk Saree,"<p>A pochampally ikat saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, ikat, everyday",TRUE,Title,Default Title,CHARCOAL-POCHAMPALLY,continue,manual,11800,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/charcoal-pochampally-1.jpg,1,Charcoal Pochampally Ikat Silk Saree,active
charcoal-pochampally,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/charcoal-pochampally-2.jpg,2,Charcoal Pochampally Ikat Silk Saree — border detail,
ochre-gadwal,Ochre Gadwal Silk Saree,"<p>A gadwal silk saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, gadwal, festive",TRUE,Title,Default Title,OCHRE-GADWAL,continue,manual,9600,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/ochre-gadwal-1.jpg,1,Ochre Gadwal Silk Saree,active
ochre-gadwal,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/ochre-gadwal-2.jpg,2,Ochre Gadwal Silk Saree — border detail,
