Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
mauve-silver-zari,Mauve Silk Saree with Silver Zari,"<p>Mauve Silk Saree with Silver Zari. Handwoven banarasi silk with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, banarasi, wedding",TRUE,Title,Default Title,MAUVESILVERZARI,continue,manual,18600,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-mauve-silver-zari-1.jpg,1,Mauve Silk Saree with Silver Zari,active
powder-blue-striped,Powder Blue Striped Saree,"<p>Powder Blue Striped Saree. Handwoven silk cotton with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, silk-cotton, everyday",TRUE,Title,Default Title,POWDERBLUESTRIPED,continue,manual,3850,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-powder-blue-striped-1.jpg,1,Powder Blue Striped Saree,active
teal-striped-printed,Teal Striped Saree with Printed Pallu,"<p>Teal Striped Saree with Printed Pallu. Handwoven georgette with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, georgette, everyday",TRUE,Title,Default Title,TEALSTRIPEDPRINTED,continue,manual,4650,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-teal-striped-printed-1.jpg,1,Teal Striped Saree with Printed Pallu,active
turquoise-contrast,Turquoise Silk Saree with Contrast Border,"<p>Turquoise Silk Saree with Contrast Border. Handwoven soft silk with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, soft-silk, festive",TRUE,Title,Default Title,TURQUOISECONTRAST,continue,manual,10800,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-turquoise-contrast-1.jpg,1,Turquoise Silk Saree with Contrast Border,active
ivory-violet-border,Ivory Silk Saree with Violet Border,"<p>Ivory Silk Saree with Violet Border. Handwoven chanderi with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, chanderi, everyday",TRUE,Title,Default Title,IVORYVIOLETBORDER,continue,manual,4980,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-ivory-violet-border-1.jpg,1,Ivory Silk Saree with Violet Border,active
ivory-blue-border,Ivory Silk Saree with Blue Border,"<p>Ivory Silk Saree with Blue Border. Handwoven chanderi with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, chanderi, everyday",TRUE,Title,Default Title,IVORYBLUEBORDER,continue,manual,5250,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-ivory-blue-border-1.jpg,1,Ivory Silk Saree with Blue Border,active
purple-checked-silk,Deep Purple Checked Silk Saree,"<p>Deep Purple Checked Silk Saree. Handwoven kanchipuram silk with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, kanchipuram, wedding",TRUE,Title,Default Title,PURPLECHECKEDSILK,continue,manual,32500,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-purple-checked-silk-1.jpg,1,Deep Purple Checked Silk Saree,active
purple-checked-silk,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-purple-checked-silk-2.jpg,2,Deep Purple Checked Silk Saree — alternate view,
peach-gold-zari,Peach Silk Saree with Gold Zari Border,"<p>Peach Silk Saree with Gold Zari Border. Handwoven kanchipuram silk with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, kanchipuram, wedding",TRUE,Title,Default Title,PEACHGOLDZARI,continue,manual,29800,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-peach-gold-zari-1.jpg,1,Peach Silk Saree with Gold Zari Border,active
peach-gold-zari,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-peach-gold-zari-2.jpg,2,Peach Silk Saree with Gold Zari Border — alternate view,
parrot-green-maroon,Parrot Green Silk Saree with Maroon Border,"<p>Parrot Green Silk Saree with Maroon Border. Handwoven silk cotton with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, silk-cotton, festive",TRUE,Title,Default Title,PARROTGREENMAROON,continue,manual,5680,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-parrot-green-maroon-1.jpg,1,Parrot Green Silk Saree with Maroon Border,active
